subject,exam_type,year,question_number,topic,question_text,answer_text,explanation,source_file
Computing,Textbook Exercise,N/A,1,Boolean Algebra,Circuits are paths that allow signals to flow through and make things work in computers.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 1)
Computing,Textbook Exercise,N/A,1,Boolean Algebra,Boolean expression is a way of writing a rule or decision using true or false statements.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 1)
Computing,Textbook Exercise,N/A,1,Boolean Algebra,"Arithmetic operations are the addition, subtraction, multiplication and division used in computing mathematical tasks.",N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 1)
Computing,Textbook Exercise,N/A,1a,Understanding Logic Operations and Expressions,"Complete the table below with the correct outputs for AND, OR and NOT operations in groups.",N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 1)
Electronics,Textbook Exercise,N/A,1,Logic Gates,A (Input) B (Input) AND (Output) OR (Output) NOT A (output) NOT B (output),N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 2)
Electronics,Textbook Exercise,N/A,2,Logic Gates,Present your results to the class for discussion.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 2)
Electronics,Textbook Exercise,N/A,3,Logic Gates,What is the output of the activity you have just finished called?,NAND Gate,The output of the activity is called a NAND gate.,YEAR 2 LM Computing Section 1.pdf (Page 2)
Electronics,Textbook Exercise,N/A,4,Logic Gates,What is a NAND gate?,A NAND gate is the result of combining an AND gate and a NOT gate.,A NAND gate is the result of combining an AND gate and a NOT gate.,YEAR 2 LM Computing Section 1.pdf (Page 2)
Electronics,Textbook Exercise,N/A,5,Logic Gates,What is the typical use of a NAND gate?,The typical use of a NAND gate is to reverse an AND gate.,The typical use of a NAND gate is to reverse an AND gate.,YEAR 2 LM Computing Section 1.pdf (Page 2)
Electronics,Textbook Exercise,N/A,6,Logic Gates,Describe the typical truth table of the NAND gate.,N/A,The typical truth table of the NAND gate is shown in figure 1.1.,YEAR 2 LM Computing Section 1.pdf (Page 2)
Electronics,Textbook Exercise,N/A,1a,Understanding NAND Gate,Copy and fill the first column in the table below with the correct output from activity 1.1. AND (Input) ~ AND (Output),N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 3)
Electronics,Textbook Exercise,N/A,2a,Understanding NAND Gate,Apply the NOT operator to the first column and write the result in the second column.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 3)
Electronics,Textbook Exercise,N/A,3a,Understanding NAND Gate,Show your results to the teacher for approval.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 3)
Electronics,Textbook Exercise,N/A,4a,Understanding NOR Gate,Copy and fill the first column in the table below with the correct output from activity 1.1.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 3)
Computer Science,Textbook Exercise,N/A,1,Introduction to Computer Hardware and Software,1. What is the title of this chapter?,Introduction to Computer Hardware and Software,N/A,Computing-Section-2_LV.pdf (Page 1)
Computer Studies,Textbook Exercise,N/A,1,Introduction to Computer Hardware and Software,"Understanding computer hardware is crucial because it forms the foundation of all computing processes. It helps improve system performance, troubleshoot technical issues, and make cost-effective decisions when purchasing or upgrading hardware.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,2,Introduction to Computer Hardware and Software,"Key components such as input devices (like keyboards and sensors), output devices (like monitors and printers), and storage devices (like hard drives and SSDs) play essential roles in how computers interact with users and the world.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,3,Introduction to Computer Hardware and Software,"Hardware knowledge connects the digital and physical worlds, enabling the creation and optimisation of real-world applications in areas like robotics, healthcare, and automation.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,4,Introduction to Computer Hardware and Software,"An understanding of how hardware components, including input, output, and storage devices function, allows students to better understand how software interacts with these physical systems, enhancing their overall understanding of computing.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,5,Introduction to Computer Hardware and Software,"Consider how computer hardware technologies—such as input devices (like keyboards, touchscreens, and microphones), output devices (like monitors, speakers, and printers), and storage devices (like hard drives and cloud services)—are integral parts of your everyday life.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,6,Introduction to Computer Hardware and Software,"Think about how you use these components daily when you text on your smartphone, listen to music, watch videos, or save files for school projects.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,7,Introduction to Computer Hardware and Software,"By reflecting on how these technologies are embedded in your routine, you can appreciate the importance of understanding hardware and its role in connecting the digital and physical aspects of your world.",N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,8,Introduction to Computer Hardware and Software,Hardware components of a computer are various physical parts or devices that work together to provide the necessary functionality for computing tasks.,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,9,Introduction to Computer Hardware and Software,Hardware devices are categorised into the following:,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,10,Introduction to Computer Hardware and Software,• Input devices,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,11,Introduction to Computer Hardware and Software,• Output devices,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,12,Introduction to Computer Hardware and Software,• Processing devices,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,13,Introduction to Computer Hardware and Software,• Storage devices,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,14,Introduction to Computer Hardware and Software,• Communication devices,N/A,N/A,Computing-Section-2_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,1,Introduction to Computer Hardware and Software,Explain the features of the hardware components of a computer.,"The hardware components of a computer include input hardware, processing hardware, output hardware, storage hardware, and communication hardware.",Hardware is the physical part of the computer.,Computing-Section-2_LV.pdf (Page 3)
Computer Studies,Textbook Exercise,N/A,2,Introduction to Computer Hardware and Software,Describe the categories of Computer Software.,"A software is a set of instructions that tells a computer what to do. It includes a broad range of applications or programs, tools, and systems that enable the hardware to perform specific tasks.",A software is a set of instructions that tells a computer what to do.,Computing-Section-2_LV.pdf (Page 3)
Computer Studies,Textbook Exercise,N/A,3,Input Devices,What are input devices?,Input devices are hardware components that allow users to give data and instructions to a computer system.,Input devices enable users to interact with the computer and provide the necessary input for executing tasks.,Computing-Section-2_LV.pdf (Page 3)
Computer Studies,Textbook Exercise,N/A,4,Input Devices,Give examples of input devices.,Examples of input devices include keyboards.,"Keyboards are a common input device, consisting of a set of keys that allow users to input alphanumeric characters, symbols, and commands.",Computing-Section-2_LV.pdf (Page 3)
Computer Science,Textbook Exercise,N/A,1,Computational Thinking and Programming Logic,What is computational thinking?,N/A,N/A,Computing-Section-4_LV.pdf (Page 1)
Computing,Textbook Exercise,N/A,1,Introduction to Computational Thinking and Programming,"Hello Learner, welcome to an exciting journey into the world of computational thinking and programming! This section is designed to introduce you to the fundamentals of creating algorithms and writing code, primarily using Python.",N/A,N/A,Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,2,Introduction to Computational Thinking and Programming,What are the foundations you will use to build more complex programs as you progress?,"Variables, data types, and arrays",These are the basic programming concepts that will be mastered first.,Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,3,Introduction to Computational Thinking and Programming,"What is the process of writing code that tells a computer, application, or software program what to do?",Computer programming,"This is the process of writing code that tells a computer, application, or software program what to do.",Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,4,Introduction to Computational Thinking and Programming,What are the steps by way of solving a problem?,Algorithms,Algorithms are the steps by way of solving a problem.,Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,5,Introduction to Computational Thinking and Programming,What are the use of shapes to represent the steps of solving a problem?,Flowcharts,Flowcharts are the use of shapes to represent the steps of solving a problem.,Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,6,Introduction to Computational Thinking and Programming,What are the stages in the program development cycle?,"Analysis, Design, Coding and Testing",These are the stages in the program development cycle.,Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,7,Introduction to Computational Thinking and Programming,What are the key ideas in this section?,"Variables are named storage locations that hold a value or an object which can be changed, Computer programming is the process of writing code that tells a computer, application, or software program what to do, Algorithms are the steps by way of solving a problem, Flowcharts are the use of shapes to represent the steps of solving a problem",These are the key ideas in this section.,Computing-Section-4_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Computational Thinking and Programming Logic,Pseudocode is the use of plain text to write algorithms.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,2,Computational Thinking and Programming Logic,Analysis is the initial stage where the problem or project requirements are thoroughly understood and defined.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,3,Computational Thinking and Programming Logic,"SDLC (Software Development Life Cycle): is a structured process used by software developers and project managers to design, develop, test and deploy software.",N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,4,Computational Thinking and Programming Logic,Data types is the category that tells a computer what kind of data you’re working with.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,5,Computational Thinking and Programming Logic,Data structures are a way of organising and storing data so that it can be used efficiently,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,6,Computational Thinking and Programming Logic,"Arrays are a data structure that stores a collection of the same elements, typically of the same data types, in a specific order.",N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,7,Variables in Computing Programming,A computer program is a set of instructions used to solve a given problem.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,8,Variables in Computing Programming,A RAM chip on a computer’s motherboard has storage locations. These locations hold data.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,9,Variables in Computing Programming,"In programming, when we talk about variables, we mean information that can change.",N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,10,Variables in Computing Programming,"So, variables are part of a program that can have different values each time the program is used.",N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,11,Variable Naming,Choosing appropriate names for variables is important because it makes your program easier to understand.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,12,Variable Naming,Always use variable names that clearly describe what they hold.,N/A,N/A,Computing-Section-4_LV.pdf (Page 3)
Computer Architecture and Organisation,Textbook Exercise,N/A,1,Data Communication and Network Systems,What is the role of an Internet Service Provider (ISP)?,A company that provides access to the internet to individuals and organisations.,An ISP provides internet access to individuals and organisations.,YEAR 2 LM Computing Section 3.pdf (Page 1)
Computer Architecture and Organisation,Textbook Exercise,N/A,2,Data Communication and Network Systems,What is bandwidth?,The amount of data that can be transmitted over a network or internet connection in a given amount of time.,Bandwidth refers to the amount of data that can be transmitted in a given time.,YEAR 2 LM Computing Section 3.pdf (Page 1)
Computer Architecture and Organisation,Textbook Exercise,N/A,3,Data Communication and Network Systems,What is Internet Protocol (IP)?,A rule that governs communication over the internet.,IP is a rule that governs internet communication.,YEAR 2 LM Computing Section 3.pdf (Page 1)
Computer Architecture and Organisation,Textbook Exercise,N/A,4,Data Communication and Network Systems,What are network devices?,Physical devices used to connect computers and other devices within a network.,Network devices connect computers and other devices within a network.,YEAR 2 LM Computing Section 3.pdf (Page 1)
Computer Architecture and Organisation,Textbook Exercise,N/A,5,Data Communication and Network Systems,What is subnetting?,Dividing a larger network into smaller networks called 'subnets'.,Subnetting divides a larger network into smaller subnets.,YEAR 2 LM Computing Section 3.pdf (Page 1)
Computer Architecture and Organisation,Textbook Exercise,N/A,6,Data Communication and Network Systems,What is a Virtual Private Network (VPN)?,"A technology that allows people to use the internet by creating a private, encrypted connection.","A VPN creates a private, encrypted internet connection.",YEAR 2 LM Computing Section 3.pdf (Page 1)
Computing,Textbook Exercise,N/A,1,Local Area Network,1. Create a concept map of a Local Area Network.,N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computing,Textbook Exercise,N/A,2,Local Area Network,2. Show your concept to the teacher and peers.,N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computing,Textbook Exercise,N/A,1a,Designing a LAN,"a. The use of modular devices to easily expand your network. Networks contain a number of different devices, they can be designed to ensure that extra devices can be connected to the network. Extra Switches can be added to allow more wired devices to a network, or extra Wireless Access Points can be added to provide wider coverage or for more devices.",N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computing,Textbook Exercise,N/A,1b,Designing a LAN,"b. Implementing a hierarchical design using the three-layer model (core, distribution, and access) to efficiently organise your network. The core layer serves as the network backbone, enabling high-speed data transfer. The distribution layer links the core and access layers, handling policies and routing, while the access layer connects end devices, such as computers and printers. This structure manages traffic effectively and simplifies adding new devices.",N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computing,Textbook Exercise,N/A,1c,Designing a LAN,"c. Planning for future growth. In the future, there will be an increase in the number of computers and devices in your school or office, and you will add new services like video streaming or online learning without significant changes.",N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computing,Textbook Exercise,N/A,1d,Designing a LAN,"d. Incorporating redundancies. You need to have backup plans to ensure your network is available and even if the network fails, data can take another route.",N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computing,Textbook Exercise,N/A,1e,Designing a LAN,e. The use of redundant links and devices ensures that the LAN has dual power supplies and backup switches and routers so that the LAN stays on even if one fails.,N/A,N/A,YEAR 2 LM Computing Section 3.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,1,LAN Design,What is the importance of flexibility in building a network?,To support various devices and applications.,The network needs to have standard protocols and interfaces that allow communication and compatibility across devices.,YEAR 2 LM Computing Section 3.pdf (Page 3)
Computer Studies,Textbook Exercise,N/A,2,LAN Design,What are the key factors to consider when designing a network for performance?,"High-speed links and equipment, optimising network traffic with Quality of Service (QoS) policies.",To maintain network performance and reliability.,YEAR 2 LM Computing Section 3.pdf (Page 3)
Computer Studies,Textbook Exercise,N/A,3,LAN Design,What are some ways to secure a LAN?,"Using a firewall, updated antivirus and anti-malware software, strong passwords, and regular software updates.",To protect it from unauthorised access.,YEAR 2 LM Computing Section 3.pdf (Page 3)
Computer Studies,Textbook Exercise,N/A,4,LAN Design,What are the main steps in planning a LAN?,"Gather Requirements, including specifying the number of users, devices, required applications, user needs, performance, security, reliability, scalability, cost constraints, and coverage area of the network.",To make sure the network meets both the current and future needs of the organisation.,YEAR 2 LM Computing Section 3.pdf (Page 3)
Computer Science,Textbook Exercise,N/A,1,Computer Systems A – Data Representation and Computer Structure,What is the primary function of a computer system?,N/A,N/A,Computing-Section-1_-LV.pdf (Page 1)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,What are the basic building blocks of computers?,Bits,"Bits are the basic building blocks of computers, telling the computers what to do and how to represent data.",Computing-Section-1_-LV.pdf (Page 2)
Computer Systems A,Textbook Exercise,N/A,2,Data Representation and Computer Structure,What do 8 bits make?,A byte,8 bits make a byte.,Computing-Section-1_-LV.pdf (Page 2)
Computer Systems A,Textbook Exercise,N/A,3,Data Representation and Computer Structure,How is raw data/binary representation decoded?,According to its type to make sense as useful information,"Different types of information (numbers, text, images, etc.) are encoded into binary in different ways.",Computing-Section-1_-LV.pdf (Page 2)
Computer Systems A,Textbook Exercise,N/A,4,Data Representation and Computer Structure,What is Boolean logic?,A type of algebra in which results are calculated as either True or False,Boolean logic is a type of algebra in which results are calculated as either True or False.,Computing-Section-1_-LV.pdf (Page 2)
Computer Systems A,Textbook Exercise,N/A,5,Data Representation and Computer Structure,What is the role of buses in a computer system?,"Buses are used to connect components, allowing data and signals to pass between them","Buses are used to connect these components, allowing data and signals to pass between them.",Computing-Section-1_-LV.pdf (Page 2)
Computer Systems A,Textbook Exercise,N/A,6,Data Representation and Computer Structure,What role do the system bus play in the machine cycle?,"They ferry around the necessary addresses, data and control signals","The buses that form the system bus play a key role in the machine cycle, because it is they who ferry around the necessary addresses, data and control signals.",Computing-Section-1_-LV.pdf (Page 2)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,A bit is the smallest unit of data in computing or the digital world. A bit can only be in one of two ‘binary’ states: ‘0’ or ‘1. The ‘0’ often signifies ‘Off’ or ‘False’ and the ‘1’ signifies ‘On’ or ‘True’ as in Figure 1.1.,N/A,A bit is the smallest unit of data in computing or the digital world.,Computing-Section-1_-LV.pdf (Page 3)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,Eight contiguous bits make one byte (8 bits = 1 byte).,N/A,Eight contiguous bits make one byte.,Computing-Section-1_-LV.pdf (Page 3)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,A series of 0s and 1s is known as a bit pattern.,N/A,A series of 0s and 1s is known as a bit pattern.,Computing-Section-1_-LV.pdf (Page 3)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,Representing data as bit patterns involves using sequences of 0s and 1s (bits) to encode different types of data.,N/A,Representing data as bit patterns involves using sequences of 0s and 1s (bits) to encode different types of data.,Computing-Section-1_-LV.pdf (Page 3)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,"For example, a wall socket switch, which can be ‘On’ or ‘Off’ could be represented by one bit (0 or 1).",N/A,A wall socket switch can be represented by one bit (0 or 1).,Computing-Section-1_-LV.pdf (Page 3)
Computer Systems A,Textbook Exercise,N/A,1,Data Representation and Computer Structure,Bits can often be found in the real world as labels for switches indicating which direction/state is ‘On’ (1) and which is ‘Off’ (0).,N/A,Bits can often be found in the real world as labels for switches indicating which direction/state is ‘On’ (1) and which is ‘Off’ (0).,Computing-Section-1_-LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,1,Introduction to Barcodes and QR Codes,What are barcodes used for?,"Barcodes are used everywhere, from the products we buy at the store, to the tickets we use for events and shows.",Barcodes are used for tracking and retrieving information about products.,YEAR 2 LM Computing Section 2.pdf (Page 1)
Computing,Textbook Exercise,N/A,2,Introduction to Barcodes and QR Codes,What is the main difference between a regular barcode and a QR code?,QR codes can store much more information than a regular barcode.,QR codes have more storage capacity than regular barcodes.,YEAR 2 LM Computing Section 2.pdf (Page 1)
Computing,Textbook Exercise,N/A,3,Introduction to Software,What is software?,Software is a set of instructions or programs that tell a computer what to do.,Software is the brain of a computer that makes everything work.,YEAR 2 LM Computing Section 2.pdf (Page 1)
Computing,Textbook Exercise,N/A,4,Understanding Barcodes,What is a barcode made up of?,A barcode is made up of a series of lines of varying widths that represent numbers and other symbols.,Each barcode is a globally unique number.,YEAR 2 LM Computing Section 2.pdf (Page 1)
Computing,Textbook Exercise,N/A,5,Understanding Barcodes,Why are barcodes important in retail stores?,Barcodes are used in retail stores to quickly retrieve a product's name and price at checkout and to track products as they move through the supply chain.,Barcodes help store owners track products and retrieve information quickly.,YEAR 2 LM Computing Section 2.pdf (Page 1)
Computer Studies,Textbook Exercise,N/A,1,Introduction to Barcodes,What is the main purpose of a barcode?,N/A,N/A,YEAR 2 LM Computing Section 2.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,2,Introduction to Barcodes,What is the EAN-13 barcode?,N/A,N/A,YEAR 2 LM Computing Section 2.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,3,Types of Barcodes,What is the significance of the first digit in an EAN-13 barcode?,N/A,N/A,YEAR 2 LM Computing Section 2.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,4,Types of Barcodes,What type of barcode is used in Ghana?,GHBS-13,"The GHBS-13 is a barcode system used in Ghana, based on the standard EAN-13 format but enhanced to suit local needs.",YEAR 2 LM Computing Section 2.pdf (Page 2)
Computing,Textbook Exercise,N/A,2,Barcodes,"These 12-digit barcodes are commonly found on retail goods in the USA and Canada, except for books and magazines.",N/A,N/A,YEAR 2 LM Computing Section 2.pdf (Page 3)
Computing,Textbook Exercise,N/A,3,Barcodes,ITF-14 Carton & Pallet Barcodes: ITF-14 Carton Codes are created from EAN-13 and UPC-A barcodes.,N/A,N/A,YEAR 2 LM Computing Section 2.pdf (Page 3)
Computer Science,Textbook Exercise,N/A,1,Computational Thinking and Web Development,What is computational thinking?,N/A,N/A,Computing-Section-5_LV.pdf (Page 1)
Computing,Textbook Exercise,N/A,1,Web Technologies and Databases,Take a moment to explore the beauty of this website here or https://t-tel.org/.  Are you curious about how it was expertly created?,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,2,Web Technologies and Databases,"In this section, you will learn the basics of building a website. Through hands-on activities and problem-solving tasks, you will develop your coding skills and understand how websites are made using tools such as HTML, CSS, and JavaScript.",N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,3,Web Technologies and Databases,"We will focus on web outline plans, which include essential elements like sitemaps, wireframes, and prototypes.",N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,4,Web Technologies and Databases,These tools will help you see the different parts of a web page and may even inspire you to try web development yourself!,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,5,Web Technologies and Databases,"There are many excellent websites, such as w3schools.com and codecademy.com, where you can learn more and practise your skills.",N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,6,Web Technologies and Databases,We are excited for you to gain these valuable skills – let us get started then!,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,7,Web Technologies and Databases,"At the end of this section, you will be able to: 1. Identify and describe the key components of a Web page, including headings, menus, links, text, images, and other relevant elements.",N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,8,Web Technologies and Databases,2. Draw and explain 2 web outline plans showing the wireframes.,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,9,Web Technologies and Databases,"Key Ideas 1. Web design - Web design involves planning and creating the visual layout and structure of a website. It ensures the site is attractive, user-friendly, and works well on different devices.",N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,10,Web Technologies and Databases,2. Web development – Is the process of building and maintaining websites,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,11,Web Technologies and Databases,3. Front-end – Refers to the part of a website that users interact with directly,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,12,Web Technologies and Databases,"4. Back-end – Ensures that the front-end operates smoothly by handling data processing, storage, and security",N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
